Age,Country,EdLevel,WorkExp,YearsCode,Employment,RemoteWork,OrgSize,Industry,ICorPM,NewRole,PurchaseInfluence,LearnCodeAI,ToolCountWork,ToolCountPersonal,AIThreat,AIFrustration,AISent,AIComplex,AIAgentChange,ConvertedCompYearly,JobSat
25-34 years old,Ukraine,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",8.0,14.0,Employed,Remote,20 to 99 employees,Fintech,People manager,I have neither consider or transitioned into a new career or industry,"Yes, I influenced the purchase of a substantial addition to the tech stack","Yes, I learned how to use AI-enabled tools for my personal curiosity and/or hobbies",7.0,3.0,I'm not sure,"AI solutions that are almost right, but not quite",Indifferent,Bad at handling complex tasks,Not at all or minimally,61256.0,10.0
25-34 years old,Netherlands,"Associate degree (A.A., A.S., etc.)",2.0,10.0,Employed,"Hybrid (some in-person, leans heavy to flexibility)",500 to 999 employees,Retail and Consumer Services,Individual contributor,I have transitioned into a new career and/or industry voluntarily,No,"Yes, I learned how to use AI-enabled tools for my personal curiosity and/or hobbies",6.0,5.0,I'm not sure,"AI solutions that are almost right, but not quite;Debugging AI-generated code is more time-consuming",Indifferent,Bad at handling complex tasks,Not at all or minimally,104413.0,9.0
35-44 years old,Ukraine,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10.0,12.0,"Independent contractor, freelancer, or self-employed",Not Specified,Not Specified,Software Development,Not Specified,I have transitioned into a new career and/or industry involuntarily,No,"Yes, I learned how to use AI-enabled tools for my personal curiosity and/or hobbies",3.0,3.0,No,"AI solutions that are almost right, but not quite;Debugging AI-generated code is more time-consuming",Favorable,Neither good or bad at handling complex tasks,"Yes, somewhat",53061.0,8.0
35-44 years old,Ukraine,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",4.0,5.0,Employed,Remote,"10,000 or more employees",Retail and Consumer Services,Individual contributor,I have neither consider or transitioned into a new career or industry,No,"Yes, I learned how to use AI-enabled tools for my personal curiosity and/or hobbies",6.0,5.0,No,"AI solutions that are almost right, but not quite;I don’t use AI tools regularly",Favorable,Bad at handling complex tasks,Not at all or minimally,36197.0,6.0
35-44 years old,Ukraine,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",21.0,22.0,"Independent contractor, freelancer, or self-employed",Not Specified,Not Specified,Software Development,Not Specified,I have neither consider or transitioned into a new career or industry,"Yes, I endorsed a tool that was open-source and is currently used by more than just myself but no purchase was made","Yes, I learned how to use AI-enabled tools for my personal curiosity and/or hobbies",4.0,3.0,No,"AI solutions that are almost right, but not quite",Favorable,"Good, but not great at handling complex tasks","Yes, to a great extent",60000.0,7.0
45-54 years old,Ukraine,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",15.0,20.0,"Independent contractor, freelancer, or self-employed",Not Specified,Not Specified,Fintech,Not Specified,I have somewhat considered changing my career and/or the industry I work in,"Yes, I influenced the purchase of a substantial addition to the tech stack","Yes, I learned how to use AI-enabled tools required for my job or to benefit my career",5.0,5.0,I'm not sure,"AI solutions that are almost right, but not quite",Indifferent,"Good, but not great at handling complex tasks",Not at all or minimally,120000.0,7.0
25-34 years old,Ukraine,Some college/university study without earning a degree,9.0,13.0,"Independent contractor, freelancer, or self-employed",Not Specified,Not Specified,Insurance,Not Specified,I have somewhat considered changing my career and/or the industry I work in,No,"Yes, I learned how to use AI-enabled tools for my personal curiosity and/or hobbies",6.0,5.0,Yes,"AI solutions that are almost right, but not quite;I’ve become less confident in my own problem-solving",Favorable,Neither good or bad at handling complex tasks,"Yes, somewhat",6240.0,6.0
35-44 years old,Ukraine,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",22.0,30.0,Employed,Remote,Less than 20 employees,Software Development,People manager,I have strongly considered changing my career and/or the industry I work in,"Yes, I influenced the purchase of a substantial addition to the tech stack","Yes, I learned how to use AI-enabled tools for my personal curiosity and/or hobbies",10.0,10.0,Yes,"AI solutions that are almost right, but not quite;Debugging AI-generated code is more time-consuming;I’ve become less confident in my own problem-solving;Other (write in):",Very favorable,Neither good or bad at handling complex tasks,"Yes, to a great extent",72000.0,6.0
25-34 years old,Ukraine,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",9.0,15.0,Employed,Remote,"5,000 to 9,999 employees",Banking/Financial Services,Individual contributor,I have transitioned into a new career and/or industry voluntarily,"Yes, I influenced the purchase of a tool that more than five colleagues use but it is not a substantial addition to the tech stack","Yes, I learned how to use AI-enabled tools for my personal curiosity and/or hobbies",6.0,5.0,No,Not Specified,Indifferent,Neither good or bad at handling complex tasks,Not Specified,70000.0,8.0
25-34 years old,Ukraine,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",7.0,10.0,Employed,Remote,20 to 99 employees,Software Development,Individual contributor,I have somewhat considered changing my career and/or the industry I work in,No,"No, I learned something that was not related to AI or AI enablement for my personal curiosity and/or hobbies",6.0,2.0,No,"AI solutions that are almost right, but not quite;Debugging AI-generated code is more time-consuming;I don’t use AI tools regularly",Unfavorable,Very poor at handling complex tasks,"No, but my development work has changed somewhat due to non-AI factors",5400.0,4.0
